id,unit_id,barrage_id,boost_id,hit_check_order
1,1001,1,0,111111
2,1001,1,1,1212131311
3,1001,1,2,12121351351414
4,1001,1,3,1212135135146146
5,1001,2,0,1111
6,1001,2,1,121211
7,1001,2,2,1241241313
8,1001,2,3,12412413561356
9,1001,3,0,111111111111
10,1001,3,1,1212121213131314141411
11,1001,3,2,1212121213131314141451551
12,1001,3,3,121212121313131414145155166
13,1001,4,0,111111
14,1001,4,1,12121111
15,1001,4,2,12121313131
16,1001,4,3,1241241356135613561456
17,1001,7,0,111111111111111111
18,1001,7,1,1212121212131313131311111111
19,1001,7,2,121212121213131313131414141414111
20,1001,7,3,1212121212131313131314145145146146156156156
21,1002,1,0,111111
22,1002,1,1,12121111
23,1002,1,2,121213131414
24,1002,1,3,1212513513146146
25,1002,2,0,111
26,1002,2,1,12121
27,1002,2,2,123124134
28,1002,2,3,12351245613466
29,1002,3,0,111111111111
30,1002,3,1,12121213131111111
31,1002,3,2,1212121313141411111
32,1002,3,3,12121213131414115151616
33,1002,4,0,11111111
34,1002,4,1,121213131111
35,1002,4,2,12121313141411
36,1002,4,3,121213131414156156
37,1002,7,0,1111111111
38,1002,7,1,1241241212131313131414
39,1002,7,2,12412412512513513513131414
40,1002,7,3,124124125125135135136136146146
41,1003,1,0,11111
42,1003,1,1,1212111
43,1003,1,2,12412131314
44,1003,1,3,124125135136146
45,1003,2,0,1111
46,1003,2,1,12111
47,1003,2,2,1213141
48,1003,2,3,1213146156
49,1003,3,0,11111111111111
50,1003,3,1,121212121111111111
51,1003,3,2,1212121213131313111111
52,1003,3,3,121212121313135135145146146146156156
53,1003,4,0,11
54,1003,4,1,1212
55,1003,4,2,123123
56,1003,4,3,123456123456
57,1003,7,0,111111111111111111
58,1003,7,1,121212111111111111111
59,1003,7,2,121212131313111111111111
60,1003,7,3,121212131313141414115151511161616
61,1004,1,0,11111
62,1004,1,1,1212111
63,1004,1,2,12412131314
64,1004,1,3,124125135136146
65,1004,2,0,11
66,1004,2,1,121
67,1004,2,2,12314
68,1004,2,3,12361456
69,1004,3,0,1111111111
70,1004,3,1,121211111111
71,1004,3,2,1212131314141111
72,1004,3,3,12121313141415151616
73,1004,4,0,111111
74,1004,4,1,1211111
75,1004,4,2,121314111
76,1004,4,3,12131411516
77,1004,7,0,111111111111111
